"","Family","Genus","Species","Museum_number","Date","Year","Country","Location","Latitude","Longitude","Reference","Holotype","Checked"
"40","Hipposideridae","Hipposideros","cf. ruber","EQ002","08-Jan-24",2024,"Equatorial Guinea","Bioko, Moraka",3.26403,8.47968,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"41","Hipposideridae","Hipposideros","cf. ruber","EQ003","08-Jan-24",2024,"Equatorial Guinea","Bioko, Moraka",3.26344,8.47953,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"42","Hipposideridae","Hipposideros","cf. ruber","EQ004","08-Jan-24",2024,"Equatorial Guinea","Bioko, Moraka",3.26344,8.47953,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"43","Hipposideridae","Hipposideros","cf. ruber","EQ080","01-Feb-24",2024,"Equatorial Guinea","Bioko, Pico Basile",3.6737,8.4884,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"44","Hipposideridae","Hipposideros","cf. ruber","EQ081","01-Feb-24",2024,"Equatorial Guinea","Bioko, Pico Basile",3.6737,8.4884,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"45","Hipposideridae","Macronycteris","gigas","EQ026","25-Jan-24",2024,"Equatorial Guinea","Oyala Park",1.19366,10.8845,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"46","Nycteridae","Nycteris","grandis","EQ030","26-Jan-24",2024,"Equatorial Guinea","Oyala Park",1.17808,10.88784,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"47","Pteropodidae","Epomops","franqueti","EQ024","25-Jan-24",2024,"Equatorial Guinea","Oyala Park",1.19366,10.8845,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"48","Pteropodidae","Megaloglossus","woermanni","EQ010","11-Jan-24",2024,"Equatorial Guinea","Bioko, Moraka",3.2618,8.47957,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"49","Pteropodidae","Megaloglossus","woermanni","EQ025","25-Jan-24",2024,"Equatorial Guinea","Oyala Park",1.19366,10.8845,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"50","Pteropodidae","Myonycteris","angolensis","EQ001","08-Jan-24",2024,"Equatorial Guinea","Bioko, Moraka",3.26403,8.47968,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"51","Pteropodidae","Rousettus","aegyptiacus","EQ005","10-Jan-24",2024,"Equatorial Guinea","Bioko, Moraka",3.2618,8.47957,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"52","Pteropodidae","Scotonycteris","bergmansi","EQ027","25-Jan-24",2024,"Equatorial Guinea","Oyala Park",1.17327,10.88576,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"53","Pteropodidae","Scotonycteris","zenkeri","EQ006","10-Jan-24",2024,"Equatorial Guinea","Bioko, Moraka",3.2618,8.47957,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"54","Pteropodidae","Scotonycteris","zenkeri","EQ007","10-Jan-24",2024,"Equatorial Guinea","Bioko, Moraka",3.2618,8.47957,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"55","Pteropodidae","Scotonycteris","zenkeri","EQ009","11-Jan-24",2024,"Equatorial Guinea","Bioko, Moraka",3.2618,8.47957,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"56","Rhinolophidae","Rhinolophus","landeri","EQ054","29-Jan-24",2024,"Equatorial Guinea","Bioko, Pico Basile",3.623,8.79701,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"57","Rhinolophidae","Rhinolophus","landeri","EQ055","30-Jan-24",2024,"Equatorial Guinea","Bioko, Pico Basile",3.6376,8.8205,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"58","Rhinolophidae","Rhinolophus","landeri","EQ056","30-Jan-24",2024,"Equatorial Guinea","Bioko, Pico Basile",3.62988,8.8089,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"59","Vespertilionidae","Glauconycteris","curryae","EQ019","22-Jan-24",2024,"Equatorial Guinea","Oyala Park",1.17786,10.88709,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"60","Vespertilionidae","Glauconycteris","curryae","EQ028","25-Jan-24",2024,"Equatorial Guinea","Oyala Park",1.17327,10.88576,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"61","Vespertilionidae","Myotis","bocagii","EQ021","24-Jan-24",2024,"Equatorial Guinea","Oyala Park",1.19225,10.84098,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"62","Vespertilionidae","Myotis","bocagii","EQ022","24-Jan-24",2024,"Equatorial Guinea","Oyala Park",1.19225,10.84098,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"63","Vespertilionidae","Nycticeinops","crassulus","EQ013","15-Jan-24",2024,"Equatorial Guinea","Bioko, Hormigas",3.33039,8.47847,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"64","Vespertilionidae","Nycticeinops","crassulus","EQ023","24-Jan-24",2024,"Equatorial Guinea","Oyala Park",1.19225,10.84098,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"65","Vespertilionidae","Pseudoromicia","mbamminkom","EQ011","11-Jan-24",2024,"Equatorial Guinea","Bioko, Moraka",3.26459,8.48181,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"66","Vespertilionidae","Pseudoromicia","roseveari","EQ031","26-Jan-24",2024,"Equatorial Guinea","Oyala Park",1.17808,10.88784,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"67","Hipposideridae","Hipposideros","cf. ruber","","",NA,"Senegal","Bandia",14.6,-17.1,"Adam & Hubert 1972","",""
"68","Hipposideridae","Hipposideros","tephrus","","",NA,"Senegal","Bandia",14.6,-17.1,"Adam & Hubert 1972","",""
"69","Pteropodidae","Myonycteris","angolensis","","",NA,"Senegal","Ebarak",12.633,-12.883,"Adam & Hubert 1972","",""
"70","Rhinopomatidae","Rhinopoma","microphyllum","","",NA,"Senegal","Dakar",14.667,-17.433,"Adam & Hubert 1972","",""
"71","Vespertilionidae","Glauconycteris","poensis","","",NA,"Senegal","Saboya",13.5,-16.2,"Adam & Hubert 1972","",""
"72","Vespertilionidae","Glauconycteris","variegata","","",NA,"Senegal","Bandia",14.6,-17.1,"Adam & Hubert 1972","",""
"73","Vespertilionidae","Glauconycteris","variegata","","",NA,"Senegal","Saboya",13.5,-16.2,"Adam & Hubert 1972","",""
"74","Vespertilionidae","Pseudoromicia","tenuipinnis","","",NA,"Senegal","Saboya",13.5,-16.2,"Adam & Hubert 1972","",""
"75","Vespertilionidae","Vansonia","rueppellii","","",NA,"Senegal","Richard-Toll",16.467,-15.683,"Adam & Hubert 1972","",""
"76","Nycteridae","Nycteris","gambiensis","","",NA,"Senegal","Bakel",14.8,-12.6,"Adam & Hubert 1976","",""
"77","Nycteridae","Nycteris","gambiensis","","",NA,"Senegal","Bandia",14.6,-17.1,"Adam & Hubert 1976","",""
"78","Nycteridae","Nycteris","gambiensis","","",NA,"Senegal","Bignona",12.8,-16.2,"Adam & Hubert 1976","",""
"79","Nycteridae","Nycteris","gambiensis","","",NA,"Senegal","Dialacoto",13.3,-13.1,"Adam & Hubert 1976","",""
"80","Nycteridae","Nycteris","gambiensis","","",NA,"Senegal","Etiesse",12.3,-12.6,"Adam & Hubert 1976","",""
"81","Nycteridae","Nycteris","gambiensis","","",NA,"Senegal","Kedougou",12.5,-13.3,"Adam & Hubert 1976","",""
"82","Nycteridae","Nycteris","gambiensis","","",NA,"Senegal","Oussouye",12.37,-16.7,"Adam & Hubert 1976","",""
"83","Nycteridae","Nycteris","gambiensis","","",NA,"Senegal","Saboya",13.5,-16.2,"Adam & Hubert 1976","",""
"84","Nycteridae","Nycteris","grandis","","",NA,"Senegal","Zinguinchor",12.3,-16.4,"Adam & Hubert 1976","",""
"85","Nycteridae","Nycteris","hispida","","",NA,"Senegal","Kedougou",12.5,-13.3,"Adam & Hubert 1976","",""
"86","Nycteridae","Nycteris","hispida","","",NA,"Senegal","Rosso",16.5,-15.9,"Adam & Hubert 1976","",""
"87","Nycteridae","Nycteris","hispida","","",NA,"Senegal","Sangalkam",14.7,-17.1,"Adam & Hubert 1976","",""
"88","Nycteridae","Nycteris","macrotis","","",NA,"Senegal","Anndiare",15.5,-13.2,"Adam & Hubert 1976","",""
"89","Nycteridae","Nycteris","macrotis","","",NA,"Senegal","Bandia",14.6,-17.1,"Adam & Hubert 1976","",""
"90","Nycteridae","Nycteris","macrotis","","",NA,"Senegal","Fete Ole",16.2,-15,"Adam & Hubert 1976","",""
"91","Nycteridae","Nycteris","macrotis","","",NA,"Senegal","Gidik",16.1,-15.8,"Adam & Hubert 1976","",""
"92","Nycteridae","Nycteris","macrotis","","",NA,"Senegal","Maka Diama",16.1,-16.2,"Adam & Hubert 1976","",""
"93","Nycteridae","Nycteris","macrotis","","",NA,"Senegal","Rosso",16.5,-15.9,"Adam & Hubert 1976","",""
"94","Nycteridae","Nycteris","macrotis","","",NA,"Senegal","Saboya",13.5,-16.2,"Adam & Hubert 1976","",""
"95","Nycteridae","Nycteris","macrotis","","",NA,"Senegal","Tatki",16.2,-15.2,"Adam & Hubert 1976","",""
"96","Nycteridae","Nycteris","macrotis","","",NA,"Senegal","Thies",14.7,-16.9,"Adam & Hubert 1976","",""
"97","Nycteridae","Nycteris","macrotis","","",NA,"Senegal","Yonofere",15.2,-14.1,"Adam & Hubert 1976","",""
"98","Nycteridae","Nycteris","macrotis","","",NA,"Senegal","Zinguinchor",12.3,-16.4,"Adam & Hubert 1976","",""
"99","Nycteridae","Nycteris","thebaica","","",NA,"Senegal","Bandia",14.6,-17.1,"Adam & Hubert 1976","",""
"100","Nycteridae","Nycteris","thebaica","","",NA,"Senegal","M'Bour",14.5,-17,"Adam & Hubert 1976","",""
"101","Nycteridae","Nycteris","thebaica","","",NA,"Senegal","Rosso",16.5,-15.9,"Adam & Hubert 1976","",""
"102","Nycteridae","Nycteris","thebaica","","",NA,"Senegal","Saboya",13.5,-16.2,"Adam & Hubert 1976","",""
"103","Molossidae","Myopterus","daubentonii","","",NA,"Senegal","Kedougou",12.5,-13.3,"Adam et al. 1993","",""
"104","Hipposideridae","Hipposideros","cf. ruber","","",NA,"Congo","Loudima",-4.25,13,"Aellen & Brosset 1968","",""
"105","Hipposideridae","Hipposideros","cf. ruber","","",NA,"Congo","Matouridi",-3.8,14.483,"Aellen & Brosset 1968","",""
"106","Hipposideridae","Hipposideros","cf. ruber","","",NA,"Congo","Meya-Nzouari",-3.883,14.533,"Aellen & Brosset 1968","",""
"107","Nycteridae","Nycteris","macrotis","","",NA,"Congo","Loudima",-4.25,13,"Aellen & Brosset 1968","",""
"108","Pteropodidae","Epomops","franqueti","","",NA,"Congo","Pointe-Noire",-4.8,11.85,"Aellen & Brosset 1968","",""
