Family,Genus,Species,Museum_number,Date,Year,Country,Location,Latitude,Longitude,Reference,Holotype,Checked
Emballonuridae,Coleura,afra,AMNH48809,16-Dec-11,1911,Democratic Republic of Congo,Aba,5.8833,30.2833,Van Cakenberghe et al. 2017,,
Emballonuridae,Coleura,afra,RBINS9062.1,01-Jan-46,1946,Democratic Republic of Congo,Lake Tanganyika,-6,29.18,Van Cakenberghe et al. 2017,,
Emballonuridae,Coleura,afra,RMCA23820,01-Jul-51,1951,Democratic Republic of Congo,Wago Mount,1.75,30.6667,Van Cakenberghe et al. 2017,,
Emballonuridae,Coleura,afra,USNM,25-Oct-66,1966,Nigeria,Idere,7.4833,3.25,Happold 1987,,
Emballonuridae,Coleura,afra,MHNG,24-Dec-85,1985,Central African Republic,"Mbrès, Gribingui/Préfecture de la Nana-Grébizi",6.6557,19.8149,GBIF,,
Emballonuridae,Coleura,afra,FMNH,10-Aug-07,2007,Tanzania,Amboni Caves,-5.0727,39.0485,GBIF,,
Emballonuridae,Coleura,afra,DM14081,24-May-12,2012,Gabon,Maboumine,-0.8042,10.5343,A. Monadjem Unpublished,,Yes
Emballonuridae,Coleura,afra,GV-CM-EO06308,07-Dec-12,2012,Cameroon,Leplikoung,3.6524,10.2272,Lebreton et al. 2014,,Yes
Emballonuridae,Coleura,afra,,25-Sep-21,2021,Djibouti,"Western Djibouti, Galafi Wetlands ",11.688,41.866,P. Webala Unpublished,,
Emballonuridae,Coleura,afra,,,NA,Angola,Benguela,-12.63,13.38,Crawford-Cabral 1989,,
Emballonuridae,Coleura,afra,IICA5233,,NA,Angola,Novo Redondo (=Sumbe),-11.38,13.88,Monadjem et al. 2020,,Yes
Emballonuridae,Coleura,afra,MNHN,,NA,Central African Republic,Bangui,4.383,18.617,GBIF,,
Emballonuridae,Coleura,afra,,,NA,Central African Republic,Kaga Djirri,5.7333,18.8333,Schlitter et al. 1982,,
Emballonuridae,Coleura,afra,,,1978,Central African Republic,Monovo-Gouna St. Floris NP (Koumbala),7.4833,21.2167,Schlitter et al. 1982,,
Emballonuridae,Coleura,afra,,,1978,Central African Republic,Monovo-Gouna St. Floris NP (Koumbala-Gounda confluence),8.5167,21.2,Schlitter et al. 1982,,
Emballonuridae,Coleura,afra,,,1978,Central African Republic,N'dele (Sultan Senoussi),8.55,20.6,Schlitter et al. 1982,,
Emballonuridae,Coleura,afra,BMNH1953.10,,NA,Democratic Republic of Congo,Kasambongo,-3.4,29.1333,Van Cakenberghe et al. 2017,,
Emballonuridae,Coleura,afra,HZM,,1999,Djibouti,Ardo,11.8167,42.7,Pearch et al. 2001,,
Emballonuridae,Coleura,afra,ZMUM,,2010,Ethiopia,Megenagne,12.2,35.667,Kruskop et al. 2016,,
Emballonuridae,Coleura,afra,,,NA,Ethiopia,Dobleh,7,45,Largen et al. 1974,,
Emballonuridae,Coleura,afra,BMNH,,1973,Ethiopia,"Lake Awasa, E",7.6167,38.65,Largen et al. 1974,,
Emballonuridae,Coleura,afra,BMNH,,1973,Ethiopia,"Lake Chamo, W",5.8333,37.5333,Largen et al. 1974,,
Emballonuridae,Coleura,afra,BMNH,,1967,Ethiopia,Lake Hertale,9.95,40.45,Largen et al. 1974,,
Emballonuridae,Coleura,afra,,,NA,Ethiopia,Afdem,9.45,40.9667,Yalden et al. 1996,,
Emballonuridae,Coleura,afra,,,2010,Gabon,"Belinga mountains, Baouala Cave",0.8757,13.4553,Vallo et al. 2018,,
Emballonuridae,Coleura,afra,,,2009,Gabon,"Belinga mountains, Faucon Cave",1.0729,13.2074,Vallo et al. 2018,,
Emballonuridae,Coleura,afra,,,NA,Gabon,"Belinga mountains, Ikei Cave",0.9517,13.6934,Vallo et al. 2018,,
Emballonuridae,Coleura,afra,,,NA,Ghana,,5.87,0.12,Grubb et al. 1998,,
Emballonuridae,Coleura,afra,,,NA,Ghana,,6.87,-0.12,Grubb et al. 1998,,
Emballonuridae,Coleura,afra,,,NA,Ghana,,9.62,-1.62,Grubb et al. 1998,,
Emballonuridae,Coleura,afra,,,1953,Guinea,Segea (near Kindia),10.0667,-12.85,Aellen 1956b,,
Emballonuridae,Coleura,afra,,,1981,Guinea,"Kindia, Segueya cave",10.0667,-12.85,Konstantinov et al. 2000,,
Emballonuridae,Coleura,afra,MHNC,,1937,Guinea-Bissau,Madina Boe,11.75,-14.2167,Monard 1939,,
Emballonuridae,Coleura,afra,,,NA,Kenya,Ferguson's Gulf,3.5167,35.9167,Aggundey & Schlitter 1984,,
Emballonuridae,Coleura,afra,,,NA,Kenya,Gede,-3.3,40.0167,Aggundey & Schlitter 1984,,
Emballonuridae,Coleura,afra,,,NA,Kenya,Lake Baringo,0.6333,36.0833,Aggundey & Schlitter 1984,,
Emballonuridae,Coleura,afra,,,NA,Kenya,"Mombasa, Diani Mosque",-4.3,39.5667,Aggundey & Schlitter 1984,,
